nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
KINOSTERNON DUNNI,Kinosternon dunni,"Kinosternon dunni Schmidt, 1947",2442399.0,Animalia,Chordata,Testudines,,Kinosternidae,Kinosternon,ACCEPTED,99,VU
ACCIPITER STRIATUS VENTRALIS P.L. SCLATER,Accipiter striatus,"Accipiter striatus Vieillot, 1808",9740253.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Accipiter,ACCEPTED,99,LC
RHINELA MARINA,Rhinela marina,"Rhinella marina (Linnaeus, 1758)",5216933.0,Animalia,Chordata,Amphibia,Anura,Bufonidae,Rhinella,ACCEPTED,85,
SPIZAETUS ISIDORI,Spizaetus isidori,"Spizaetus isidori (Des Murs, 1845)",5788512.0,Animalia,Chordata,Aves,Accipitriformes,Accipitridae,Spizaetus,ACCEPTED,99,EN
KINOSTERNON LEUCOSTOMUS,Kinosternon leucostomus,"Kinosternon leucostomum (Duméril, Bibron & Duméril, 1851)",2442350.0,Animalia,Chordata,Testudines,,Kinosternidae,Kinosternon,ACCEPTED,96,NE
CHAUNA CHAVARIA,Chauna chavaria,"Chauna chavaria (Linnaeus, 1766)",5959223.0,Animalia,Chordata,Aves,Anseriformes,Anhimidae,Chauna,ACCEPTED,99,LC
MELANERPES FORMICIVORUS,Melanerpes formicivorus,"Melanerpes formicivorus (Swainson, 1827)",2478133.0,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,ACCEPTED,99,LC
FORPUS CONSPICILLATUS,Forpus conspicillatus,"Forpus conspicillatus (Lafresnaye, 1848)",2479071.0,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Forpus,ACCEPTED,99,LC
TARABA MAJOR,Taraba major,"Taraba major (Vieillot, 1816)",2490224.0,Animalia,Chordata,Aves,Passeriformes,Thamnophilidae,Taraba,ACCEPTED,99,LC
RATTUS RATTUS,Rattus rattus,"Rattus rattus (Linnaeus, 1758)",2439270.0,Animalia,Chordata,Mammalia,Rodentia,Muridae,Rattus,ACCEPTED,99,LC
MILLEPORA SP.,Millepora sp.,"Millepora Linnaeus, 1758",1004776.0,Animalia,Cnidaria,Hydrozoa,Anthoathecata,Milleporidae,Millepora,ACCEPTED,92,NE
MANICINA AREOLATA,Manicina areolata,"Manicina areolata (Linnaeus, 1758)",2260111.0,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Manicina,ACCEPTED,99,LC
HELIOSERIS CUCULLATA,Helioseris cucullata,"Helioseris cucullata (Ellis & Solander, 1786)",2260491.0,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Helioseris,ACCEPTED,99,CR
AGARICIA SPP.,Agaricia spp.,"Agaricia Lamarck, 1801",2260501.0,Animalia,Cnidaria,Anthozoa,Scleractinia,Agariciidae,Agaricia,ACCEPTED,94,NE
COLPOPHYLLIA NATANS,Colpophyllia natans,"Colpophyllia natans (Houttuyn, 1772)",2260043.0,Animalia,Cnidaria,Anthozoa,Scleractinia,Faviidae,Colpophyllia,ACCEPTED,99,VU
NO DETERMINADA,No determinada,,,,,,,,,,0,
CHELONIA MYDAS,Chelonia mydas,"Chelonia mydas (Linnaeus, 1758)",2442225.0,Animalia,Chordata,Testudines,,Cheloniidae,Chelonia,ACCEPTED,97,EN
ARDEA CINEREA,Ardea cinerea,"Ardea cinerea Linnaeus, 1758",9797180.0,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Ardea,ACCEPTED,99,LC
ECHINOPROCTA RUFESCENS J.E. GRAY,Echinoprocta rufescens,"Echinoprocta rufescens Gray, 1865",2437596.0,Animalia,Chordata,Mammalia,Rodentia,Erethizontidae,Echinoprocta,ACCEPTED,99,LC
SETOPHAGA RUTICILLA  SUBSP. MIGRATORIA,Setophaga ruticilla,"Setophaga ruticilla (Linnaeus, 1758)",2489985.0,Animalia,Chordata,Aves,Passeriformes,Parulidae,Setophaga,ACCEPTED,99,LC
SIN DETERMINAR,Sin determinar,,,,,,,,,,0,
