nombre_cientifico_original,nombre_cientifico_normalizado,nombre_cientifico_gbif,usage_key,reino,filo,clase,orden,familia,genero,estado_taxonomico,confianza_match,categoria_iucn
PACHYRAMPHUS RUFUS,,,,,,,,,,,0,
BUTEO ALBIGULA PHILIPPI,,,,,,,,,,,0,
NYCTIBIUS GRANDIS,,,,,,,,,,,0,
MUSTELA FRENATA AFFINIS L.E. GRAY,,,,,,,,,,,0,
MASTIGODRYAS BODDAERTI,,,,,,,,,,,0,
ARDEA ALBA,,,,,,,,,,,0,
AOTUS SP,,,,,,,,,,,0,
FALCO RUFIGULARIS,,,,,,,,,,,0,
PTEROGLOSUS TORQUARUS,,,,,,,,,,,0,
KINOSTERNON DUNNI,,,,,,,,,,,0,
ACCIPITER STRIATUS VENTRALIS P.L. SCLATER,,,,,,,,,,,0,
RHINELA MARINA,,,,,,,,,,,0,
SPIZAETUS ISIDORI,,,,,,,,,,,0,
KINOSTERNON LEUCOSTOMUS,,,,,,,,,,,0,
CHAUNA CHAVARIA,,,,,,,,,,,0,
MELANERPES FORMICIVORUS,,,,,,,,,,,0,
FORPUS CONSPICILLATUS,,,,,,,,,,,0,
TARABA MAJOR,,,,,,,,,,,0,
RATTUS RATTUS,,,,,,,,,,,0,
MILLEPORA SP.,,,,,,,,,,,0,
MANICINA AREOLATA,,,,,,,,,,,0,
HELIOSERIS CUCULLATA,,,,,,,,,,,0,
AGARICIA SPP.,,,,,,,,,,,0,
COLPOPHYLLIA NATANS,,,,,,,,,,,0,
NO DETERMINADA,,,,,,,,,,,0,
CHELONIA MYDAS,,,,,,,,,,,0,
ARDEA CINEREA,,,,,,,,,,,0,
ECHINOPROCTA RUFESCENS J.E. GRAY,,,,,,,,,,,0,
SETOPHAGA RUTICILLA  SUBSP. MIGRATORIA,,,,,,,,,,,0,
SIN DETERMINAR,,,,,,,,,,,0,
COEREBA FLAVEOLA,,,,,,,,,,,0,
PORZANA CAROLINA,,,,,,,,,,,0,
COLIBRI SP,,,,,,,,,,,0,
PHONEUTRIA NIGRIVENTER,,,,,,,,,,,0,
HARPYHALIAETUS SOLITARIUS,,,,,,,,,,,0,
IGUANA IGUANA HUEVOS,,,,,,,,,,,0,
ELECTROPHORUS ELECTRICUS,,,,,,,,,,,0,
NO IDENTIFICADA,,,,,,,,,,,0,
INDETERMINADA,,,,,,,,,,,0,
ERYTHROLAMPUS TYPHLUS,,,,,,,,,,,0,
CHELUS FIMBRIATA,,,,,,,,,,,0,
MELANERPES FORMICIVORUS FLAVIGULA (MALHERBE),,,,,,,,,,,0,
UCA SP,,,,,,,,,,,0,
CORAGYPS ATRATUS BECHSTEIN,,,,,,,,,,,0,
KINOSTERNON LEUCOSTOMUM,,,,,,,,,,,0,
PYRILIA PULCHRA,,,,,,,,,,,0,
ERYTHROLAMPRUS MELANOTUS,,,,,,,,,,,0,
RAMPHASTOS TUCANUS,,,,,,,,,,,0,
CHLOROCERYLE AMERICANA,,,,,,,,,,,0,
LATERALLUS ALBIGULARIS,,,,,,,,,,,0,
BUTORIDES STRIATUS,,,,,,,,,,,0,
TAMANDUA SP,,,,,,,,,,,0,
TANGARA CAYANA,,,,,,,,,,,0,
NYCTIDROMUS ALBOCOLLIS,,,,,,,,,,,0,
CUNICULUS PACA,,,,,,,,,,,0,
MOMOTUS MOMOTA AEQUATORIALIS GOULD,,,,,,,,,,,0,
CHONDROHIERAX UNCINATUS,,,,,,,,,,,0,
POLYBORUS PLANCUS,,,,,,,,,,,0,
PSAROCOLIUS WAGLERI,,,,,,,,,,,0,
AMAZILIA SAUCEROTTEI,,,,,,,,,,,0,
EPTESICUS BRASILIENSIS ANDINUS J.A. ALLEN,,,,,,,,,,,0,
BUBO VIRGINIANUS,,,,,,,,,,,0,
BROTEGERIS CYANOPTERA,,,,,,,,,,,0,
PHAETHORNIS GUY,,,,,,,,,,,0,
ANTHRACOTHORAX NIGRICOLLIS,,,,,,,,,,,0,
ERYTHROLAMPRUS BIZONA,,,,,,,,,,,0,
AMAZONA MERCENARIA CANIPALLIATA (CABANIS),,,,,,,,,,,0,
FORPUS CONSPICILLATUS SUBSP. PERQUITO,,,,,,,,,,,0,
PSEUDOSCOPS CLAMATOR,,,,,,,,,,,0,
CALUROMYS LANATUS,,,,,,,,,,,0,
PIRANGA OLIVACEA (GMELIN),,,,,,,,,,,0,
CAROLLIA PERSPICILLATA,,,,,,,,,,,0,
EUBUCCO BOURCIERII,,,,,,,,,,,0,
CONTOPUS VIRENS (LINNAEUS),,,,,,,,,,,0,
CARDUELIS PSALTRIA,,,,,,,,,,,0,
SPOROPHILA AMERICANA,,,,,,,,,,,0,
LONTRA LONGICAUDIS,,,,,,,,,,,0,
TYRANNUS TYRANNUS,,,,,,,,,,,0,
MYOTIS ALBESCENS,,,,,,,,,,,0,
GYMNOMYSTAX MEXICANUS,,,,,,,,,,,0,
SPOROPHILIA CRASSIROSTRIS,,,,,,,,,,,0,
ZONOTRICHIA CAPENSIS,,,,,,,,,,,0,
NASUELLA OLIVACEA LAGUNETAE J.A. ALLEN,,,,,,,,,,,0,
CARDENALIS PHOENICEUS,,,,,,,,,,,0,
PYRILIA PYRILIA,,,,,,,,,,,0,
BOTHROPS ATROX,,,,,,,,,,,0,
DENDROCYGNA BICOLOR,,,,,,,,,,,0,
RUPORNIS MAGNIROSTRIS,,,,,,,,,,,0,
ZENAIDA AURICULATA,,,,,,,,,,,0,
TYRANNUS MELANCHOLICUS,,,,,,,,,,,0,
MARMOSA SP,,,,,,,,,,,0,
NOTOSCIURUS GRANATENSIS,,,,,,,,,,,0,
NYCTIDROMUS ALBICOLLIS,,,,,,,,,,,0,
COLIUMBINA TALPCOTI,,,,,,,,,,,0,
MAZAMA,,,,,,,,,,,0,
TAPIRUS PINCHAQUE,,,,,,,,,,,0,
PORPHYRIO MARTINICUS,,,,,,,,,,,0,
PODOCNEMIS UNIFILIS,,,,,,,,,,,0,
PODOCNEMIS VOGLI,,,,,,,,,,,0,
CLEIA CLEIA,,,,,,,,,,,0,
POGONA VITTICEPS,,,,,,,,,,,0,
CUCARACHAS,,,,,,,,,,,0,
MUDAS DE BOAS CONSTRICTOR,,,,,,,,,,,0,
GRYLLUS CAMPESTRES,,,,,,,,,,,0,
TRACHEMYC CALLIROSTRIS,,,,,,,,,,,0,
MOMOTUS AEQUATORIALIS,,,,,,,,,,,0,
CHOLOEPUS HOFFMANNI,,,,,,,,,,,0,
EUPSITTULA PERTINAX,,,,,,,,,,,0,
GERANOAETUS ALBICAUDATUS,,,,,,,,,,,0,
SIBON NEBULATUS,,,,,,,,,,,0,
COENDOU RUFESCENS,,,,,,,,,,,0,
ARA SEVERUS,,,,,,,,,,,0,
PANGASIANODON HYPOPHTHALMUS,,,,,,,,,,,0,
HEXANEMATICHTHYS SEEMANNI,,,,,,,,,,,0,
PORPHYRIO MARTINICA,,,,,,,,,,,0,
ORTALIS COLUMBIANA,,,,,,,,,,,0,
PENDIENTE ID,,,,,,,,,,,0,
PIONITES MELANOCEPHALUS,,,,,,,,,,,0,
PIONUS MENTRUUS,,,,,,,,,,,0,
EGRETTA THULA,,,,,,,,,,,0,
ARA CHLOROPTERUS,,,,,,,,,,,0,
POMACEA CANALICULATA,,,,,,,,,,,0,
BRACHYPELMA SMITHI,,,,,,,,,,,0,
NOTROSCIURUS GRANATENSIS,,,,,,,,,,,0,
